ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,District
165,191,253,Arrest,2026-07-16,Udupi
166,193,257,Arrest,2025-11-14,Kalaburagi
167,193,258,Arrest,2025-10-19,Kalaburagi
168,194,260,Surrender,2025-04-30,Bagalkot
169,195,261,Arrest,2025-12-29,Mangaluru (Dakshina Kannada)
170,197,263,Arrest,2023-09-28,Bengaluru City
171,198,264,Surrender,2022-11-02,Chamarajanagar
172,198,265,Arrest,2022-12-14,Chamarajanagar
173,201,267,Arrest,2026-11-17,Raichur
174,201,268,Arrest,2026-11-27,Raichur
175,201,269,Arrest,2026-11-15,Raichur
176,203,271,Arrest,2026-08-03,Haveri
177,204,272,Arrest,2026-07-25,Tumakuru
178,204,273,Surrender,2026-08-15,Tumakuru
179,205,274,Arrest,2023-06-13,Chamarajanagar
180,206,275,Arrest,2023-05-01,Bengaluru Rural
181,207,276,Arrest,2025-06-16,Tumakuru
182,208,277,Surrender,2026-01-23,Mysuru
183,209,278,Arrest,2022-05-11,Hassan
184,212,282,Arrest,2024-07-20,Tumakuru
185,213,283,Surrender,2022-09-18,Hassan
186,214,286,Arrest,2023-11-27,Kodagu
187,215,287,Arrest,2022-06-17,Belagavi
188,219,290,Arrest,2023-07-11,Tumakuru
189,220,291,Arrest,2025-11-08,Mangaluru (Dakshina Kannada)
190,221,292,Arrest,2024-08-18,Ramanagara
191,223,293,Arrest,2023-08-22,Davanagere
192,223,295,Arrest,2023-08-01,Davanagere
193,224,296,Arrest,2024-10-03,Mysuru
194,224,297,Arrest,2024-10-13,Mysuru
195,226,299,Arrest,2023-03-08,Hubballi-Dharwad
196,227,300,Arrest,2026-05-04,Tumakuru
197,229,303,Arrest,2023-12-06,Tumakuru
198,229,304,Arrest,2023-12-08,Tumakuru
199,230,305,Arrest,2026-10-24,Belagavi
200,231,306,Arrest,2025-07-07,Bidar
201,232,307,Arrest,2025-05-05,Bengaluru City
202,234,310,Arrest,2023-10-07,Kalaburagi
203,235,313,Arrest,2025-01-12,Bengaluru City
204,235,314,Arrest,2025-01-29,Bengaluru City
205,236,315,Surrender,2023-01-30,Mysuru
206,236,316,Arrest,2023-02-25,Mysuru
207,237,318,Arrest,2024-06-25,Belagavi
208,238,320,Arrest,2026-10-24,Bengaluru Rural
209,239,323,Arrest,2024-11-09,Davanagere
210,240,324,Arrest,2022-12-17,Ramanagara
211,241,325,Arrest,2024-08-17,Bidar
212,241,326,Arrest,2024-08-08,Bidar
213,242,328,Arrest,2022-11-15,Bengaluru Rural
214,245,331,Arrest,2022-04-01,Belagavi
215,246,333,Arrest,2023-03-07,Davanagere
216,247,334,Arrest,2024-01-15,Uttara Kannada
217,251,340,Arrest,2024-06-14,Ballari
218,252,341,Surrender,2023-10-22,Belagavi
219,252,342,Surrender,2023-10-24,Belagavi
220,253,344,Surrender,2026-02-05,Bengaluru Rural
221,254,346,Arrest,2025-09-23,Bengaluru Rural
222,254,347,Surrender,2025-10-11,Bengaluru Rural
223,254,348,Arrest,2025-09-27,Bengaluru Rural
224,255,349,Arrest,2024-04-20,Mysuru
225,256,350,Arrest,2024-04-28,Davanagere
226,257,351,Arrest,2026-05-14,Bengaluru City
227,261,354,Arrest,2025-01-30,Belagavi
228,261,355,Arrest,2025-01-27,Belagavi
229,262,356,Arrest,2025-07-05,Mangaluru (Dakshina Kannada)
230,262,357,Arrest,2025-06-20,Mangaluru (Dakshina Kannada)
231,262,358,Arrest,2025-07-16,Mangaluru (Dakshina Kannada)
232,263,359,Arrest,2026-11-01,Mangaluru (Dakshina Kannada)
233,264,361,Arrest,2022-11-24,Davanagere
234,265,365,Arrest,2022-08-10,Udupi
235,267,367,Arrest,2024-02-09,Bengaluru Rural
236,270,371,Arrest,2023-07-12,Belagavi
237,271,372,Arrest,2024-04-18,Belagavi
238,273,376,Surrender,2022-11-07,Tumakuru
239,275,378,Arrest,2022-10-19,Kodagu
240,277,380,Arrest,2026-03-10,Mangaluru (Dakshina Kannada)
241,277,381,Surrender,2026-03-22,Mangaluru (Dakshina Kannada)
242,279,383,Arrest,2026-12-07,Chamarajanagar
243,280,385,Arrest,2026-01-30,Kodagu
244,281,386,Surrender,2025-03-25,Bengaluru Rural
245,281,387,Arrest,2025-03-30,Bengaluru Rural
246,281,388,Arrest,2025-04-21,Bengaluru Rural
247,283,389,Arrest,2026-04-25,Mysuru
248,283,390,Arrest,2026-05-04,Mysuru
249,285,392,Arrest,2024-09-12,Hassan
250,285,394,Arrest,2024-09-27,Hassan
251,286,395,Arrest,2026-07-23,Hubballi-Dharwad
252,287,396,Arrest,2022-02-27,Tumakuru
253,288,397,Surrender,2023-06-27,Raichur
254,289,400,Arrest,2024-03-06,Mangaluru (Dakshina Kannada)
255,291,402,Arrest,2022-05-01,Hassan
256,291,403,Arrest,2022-04-03,Hassan
257,291,404,Arrest,2022-04-20,Hassan
258,292,405,Arrest,2024-02-15,Chamarajanagar
259,292,406,Surrender,2024-02-01,Chamarajanagar
260,293,407,Arrest,2026-07-30,Tumakuru
261,293,409,Arrest,2026-08-19,Tumakuru
262,296,411,Surrender,2023-02-05,Chitradurga
263,298,414,Arrest,2024-10-31,Davanagere
264,299,415,Arrest,2023-07-28,Udupi
265,300,417,Arrest,2025-01-19,Hassan
266,301,418,Arrest,2026-04-11,Kodagu
267,303,420,Arrest,2023-04-16,Shivamogga
268,304,421,Surrender,2025-01-26,Chikkaballapur
269,304,422,Arrest,2025-01-26,Chikkaballapur
270,305,424,Arrest,2027-01-07,Hubballi-Dharwad
271,306,426,Arrest,2024-04-27,Bengaluru Rural
272,307,429,Arrest,2024-09-13,Chitradurga
273,308,430,Arrest,2022-11-18,Kodagu
274,310,432,Arrest,2023-02-13,Davanagere
275,310,433,Arrest,2023-03-02,Davanagere
276,311,434,Arrest,2024-05-14,Hubballi-Dharwad
277,313,436,Arrest,2025-11-27,Belagavi
278,314,437,Arrest,2025-02-27,Bengaluru City
279,316,439,Surrender,2022-08-29,Tumakuru
280,316,441,Arrest,2022-08-31,Tumakuru
281,317,442,Arrest,2024-06-16,Bengaluru Rural
282,317,443,Arrest,2024-05-06,Bengaluru Rural
283,318,444,Arrest,2022-12-11,Bengaluru Rural
284,319,445,Arrest,2025-12-30,Belagavi
285,319,446,Arrest,2026-01-27,Belagavi
286,320,447,Arrest,2023-05-21,Belagavi
287,322,448,Surrender,2024-05-03,Davanagere
288,325,451,Arrest,2026-01-20,Mangaluru (Dakshina Kannada)
289,327,452,Arrest,2025-01-13,Mysuru
290,329,453,Arrest,2026-02-17,Bidar
291,330,455,Arrest,2022-12-31,Mangaluru (Dakshina Kannada)
292,331,457,Arrest,2024-01-16,Chamarajanagar
293,332,458,Arrest,2026-11-24,Kolar
294,334,461,Surrender,2023-03-09,Shivamogga
295,334,462,Arrest,2023-03-14,Shivamogga
296,335,463,Arrest,2023-10-02,Mangaluru (Dakshina Kannada)
297,336,465,Arrest,2026-09-03,Ballari
298,336,467,Surrender,2026-09-27,Ballari
299,338,471,Surrender,2026-02-20,Bengaluru Rural
300,339,473,Arrest,2024-10-07,Haveri
301,339,474,Arrest,2024-10-18,Haveri
302,342,477,Arrest,2022-04-27,Bengaluru City
303,343,478,Arrest,2025-01-27,Bagalkot
304,344,479,Arrest,2026-07-20,Mysuru
305,344,480,Arrest,2026-07-27,Mysuru
306,344,481,Arrest,2026-08-07,Mysuru
307,345,482,Arrest,2026-01-07,Davanagere
308,346,484,Arrest,2024-07-03,Shivamogga
309,346,485,Arrest,2024-07-10,Shivamogga
310,347,486,Arrest,2025-06-21,Davanagere
311,350,488,Arrest,2023-03-03,Ramanagara
312,350,489,Arrest,2023-03-20,Ramanagara
313,350,490,Surrender,2023-03-17,Ramanagara
314,352,491,Arrest,2022-05-24,Hassan
315,353,492,Arrest,2026-01-22,Chikkaballapur
316,354,493,Surrender,2025-10-20,Belagavi
317,354,494,Arrest,2025-10-11,Belagavi
318,354,495,Surrender,2025-10-02,Belagavi
319,355,496,Surrender,2026-12-12,Haveri
320,356,497,Surrender,2026-01-07,Bengaluru Rural
321,358,499,Arrest,2022-05-28,Ballari
322,358,500,Arrest,2022-05-30,Ballari
323,360,501,Surrender,2023-09-20,Hubballi-Dharwad
324,360,502,Arrest,2023-10-05,Hubballi-Dharwad
325,362,503,Arrest,2025-01-21,Belagavi
326,363,505,Arrest,2024-05-16,Mandya
327,364,506,Arrest,2026-10-19,Chamarajanagar
328,365,507,Arrest,2026-10-26,Haveri
329,366,510,Arrest,2023-05-25,Bagalkot
330,366,511,Arrest,2023-06-21,Bagalkot
331,367,512,Surrender,2022-04-25,Davanagere
332,368,513,Arrest,2025-05-22,Bidar
333,368,514,Arrest,2025-05-24,Bidar
334,371,515,Arrest,2026-07-23,Davanagere
335,372,516,Surrender,2025-05-30,Kalaburagi
336,373,517,Surrender,2026-04-01,Kolar
337,373,518,Arrest,2026-04-26,Kolar
338,373,519,Surrender,2026-03-24,Kolar
339,375,522,Arrest,2026-06-08,Bengaluru City
340,376,523,Arrest,2025-06-14,Kalaburagi
341,376,524,Arrest,2025-06-10,Kalaburagi
342,377,525,Arrest,2025-06-13,Raichur
343,378,526,Arrest,2024-05-24,Mysuru
344,379,527,Surrender,2025-01-24,Belagavi
345,379,529,Arrest,2024-12-15,Belagavi
346,382,530,Surrender,2026-07-30,Belagavi
347,383,531,Arrest,2025-08-13,Ramanagara
348,383,532,Arrest,2025-08-13,Ramanagara
349,384,533,Arrest,2023-12-29,Belagavi
350,385,534,Arrest,2024-02-27,Chikkamagaluru
351,386,535,Arrest,2024-08-03,Koppal
352,387,537,Arrest,2023-11-23,Koppal
353,388,538,Arrest,2024-05-17,Mysuru
354,389,541,Arrest,2024-07-29,Koppal
355,390,543,Surrender,2026-05-13,Bidar
356,390,544,Arrest,2026-04-09,Bidar
357,391,545,Arrest,2027-01-17,Bengaluru Rural
358,391,546,Surrender,2027-01-31,Bengaluru Rural
359,392,547,Arrest,2023-06-10,Bengaluru City
360,392,549,Arrest,2023-06-24,Bengaluru City
361,396,550,Arrest,2024-07-25,Haveri
362,398,552,Arrest,2025-08-13,Belagavi
363,400,554,Arrest,2025-03-22,Mysuru
364,401,556,Arrest,2024-03-26,Bengaluru City
365,402,558,Arrest,2026-05-02,Gadag
366,403,559,Arrest,2022-11-06,Mangaluru (Dakshina Kannada)
367,404,560,Surrender,2022-09-09,Bengaluru Rural
368,407,566,Arrest,2022-12-28,Davanagere
369,410,570,Arrest,2024-05-29,Davanagere
370,411,573,Arrest,2023-05-15,Bagalkot
371,412,574,Arrest,2026-10-21,Kolar
372,414,576,Arrest,2024-04-20,Mandya
373,415,577,Arrest,2026-09-07,Hubballi-Dharwad
374,419,581,Surrender,2025-05-28,Chamarajanagar
375,421,584,Surrender,2026-06-25,Hassan
376,422,585,Arrest,2022-12-18,Udupi
377,423,586,Arrest,2024-08-12,Haveri
378,425,587,Arrest,2025-04-20,Hubballi-Dharwad
379,425,588,Surrender,2025-05-25,Hubballi-Dharwad
380,426,589,Surrender,2022-05-20,Ballari
381,430,592,Arrest,2026-11-12,Uttara Kannada
382,432,595,Arrest,2027-02-05,Bengaluru City
383,433,596,Arrest,2025-06-16,Chamarajanagar
384,434,597,Arrest,2025-02-09,Mangaluru (Dakshina Kannada)
385,435,599,Arrest,2024-09-10,Bengaluru City
386,436,600,Arrest,2024-09-27,Udupi
387,436,601,Arrest,2024-10-16,Udupi
388,437,602,Surrender,2024-05-12,Mysuru
389,438,603,Arrest,2025-11-06,Chikkamagaluru
390,439,604,Arrest,2026-01-14,Shivamogga
391,440,605,Surrender,2025-08-01,Mysuru
392,440,606,Arrest,2025-08-23,Mysuru
393,441,609,Surrender,2026-03-13,Bengaluru Rural
394,442,610,Arrest,2022-12-18,Vijayapura
395,443,611,Arrest,2023-08-17,Koppal
396,446,613,Arrest,2023-10-30,Davanagere
397,447,615,Arrest,2025-06-29,Bengaluru Rural
398,448,617,Arrest,2027-01-28,Belagavi
399,449,619,Arrest,2025-09-22,Bengaluru City
400,450,620,Arrest,2024-12-01,Yadgir
401,450,621,Arrest,2024-12-21,Yadgir
402,451,622,Arrest,2023-01-10,Davanagere
403,454,624,Arrest,2025-04-20,Mysuru
404,456,627,Arrest,2023-10-22,Yadgir
405,457,628,Arrest,2025-05-03,Bengaluru City
406,458,630,Arrest,2027-02-01,Kodagu
407,459,631,Surrender,2025-07-28,Mysuru
408,459,632,Arrest,2025-07-31,Mysuru
409,460,633,Surrender,2023-02-25,Hassan
410,462,635,Arrest,2026-05-23,Belagavi
411,463,636,Arrest,2025-07-31,Bengaluru Rural
412,464,637,Arrest,2026-11-22,Gadag
413,465,638,Arrest,2026-10-31,Bengaluru Rural
414,465,639,Arrest,2026-10-08,Bengaluru Rural
415,469,644,Arrest,2024-06-14,Kodagu
416,470,645,Surrender,2026-03-24,Bengaluru Rural
417,471,646,Arrest,2026-10-23,Ramanagara
418,472,647,Arrest,2022-02-10,Mangaluru (Dakshina Kannada)
419,472,648,Surrender,2022-02-07,Mangaluru (Dakshina Kannada)
420,473,649,Surrender,2024-01-25,Bengaluru City
421,474,650,Arrest,2026-11-28,Kodagu
422,474,651,Arrest,2026-11-30,Kodagu
423,475,652,Arrest,2024-01-02,Bengaluru Rural
424,476,653,Arrest,2022-02-19,Hubballi-Dharwad
425,477,655,Arrest,2026-02-09,Mangaluru (Dakshina Kannada)
426,480,660,Arrest,2025-08-17,Mangaluru (Dakshina Kannada)
427,480,661,Arrest,2025-08-26,Mangaluru (Dakshina Kannada)
428,480,662,Arrest,2025-08-04,Mangaluru (Dakshina Kannada)
429,482,663,Arrest,2025-04-25,Davanagere
430,482,664,Surrender,2025-04-28,Davanagere
431,485,667,Arrest,2023-11-01,Bidar
432,486,670,Arrest,2022-07-08,Raichur
433,488,672,Arrest,2024-12-08,Chamarajanagar
434,488,674,Arrest,2024-12-01,Chamarajanagar
435,489,675,Arrest,2025-11-26,Mysuru
436,489,676,Arrest,2025-12-22,Mysuru
437,491,679,Surrender,2026-08-13,Bengaluru City
438,492,681,Surrender,2024-01-29,Hassan
439,496,685,Arrest,2024-06-28,Bengaluru Rural
440,497,687,Arrest,2026-07-06,Belagavi
441,498,688,Arrest,2026-03-23,Raichur
442,501,692,Arrest,2025-05-15,Mysuru
443,503,694,Arrest,2024-01-05,Bengaluru Rural
444,504,695,Arrest,2022-03-16,Bagalkot
445,505,696,Arrest,2023-10-14,Bidar
446,505,697,Arrest,2023-10-05,Bidar
447,506,699,Arrest,2024-02-26,Haveri
448,506,701,Arrest,2024-02-07,Haveri
449,507,702,Arrest,2023-02-20,Bengaluru Rural
450,507,703,Arrest,2023-02-16,Bengaluru Rural
451,510,706,Arrest,2026-05-28,Mysuru
452,513,709,Arrest,2026-03-17,Hubballi-Dharwad
453,514,710,Surrender,2026-04-30,Chamarajanagar
454,517,713,Arrest,2024-02-06,Bengaluru Rural
455,518,714,Arrest,2025-08-29,Ballari
456,518,715,Arrest,2025-08-26,Ballari
457,518,716,Arrest,2025-09-04,Ballari
458,519,717,Surrender,2022-03-08,Udupi
459,520,718,Arrest,2026-08-11,Kolar
460,520,719,Arrest,2026-08-15,Kolar
461,521,720,Arrest,2025-08-23,Bidar
462,521,721,Arrest,2025-09-15,Bidar
463,522,722,Arrest,2024-06-25,Hassan
464,523,723,Arrest,2025-01-26,Tumakuru
465,524,724,Arrest,2025-01-19,Kodagu
466,526,727,Arrest,2025-07-16,Hassan
467,528,730,Arrest,2025-03-10,Shivamogga
468,528,732,Arrest,2025-02-07,Shivamogga
469,531,735,Arrest,2026-04-12,Davanagere
470,532,736,Arrest,2025-10-11,Chamarajanagar
471,532,737,Arrest,2025-10-16,Chamarajanagar
472,533,738,Arrest,2026-10-14,Bengaluru City
473,535,739,Surrender,2023-06-29,Bengaluru City
474,536,740,Arrest,2023-09-10,Bengaluru Rural
475,537,741,Surrender,2025-01-22,Bengaluru City
476,540,745,Arrest,2024-11-17,Chikkamagaluru
477,543,750,Surrender,2026-05-10,Bengaluru Rural
478,547,755,Arrest,2026-03-24,Kodagu
479,548,756,Arrest,2024-12-14,Davanagere
480,549,758,Arrest,2026-01-11,Bengaluru City
481,553,763,Surrender,2025-10-24,Belagavi
482,553,764,Arrest,2025-10-15,Belagavi
483,554,765,Arrest,2023-02-20,Tumakuru
484,556,767,Arrest,2026-06-17,Kolar
485,557,768,Arrest,2026-08-15,Ballari
486,557,769,Surrender,2026-08-13,Ballari
487,559,771,Arrest,2026-09-12,Mangaluru (Dakshina Kannada)
488,560,773,Arrest,2025-12-28,Ramanagara
489,560,774,Arrest,2026-01-05,Ramanagara
490,561,775,Arrest,2022-10-25,Ramanagara
491,562,778,Arrest,2026-03-12,Udupi
492,563,779,Arrest,2023-08-16,Tumakuru
493,564,781,Arrest,2025-06-22,Mysuru
494,566,784,Surrender,2026-11-15,Bengaluru Rural
495,567,785,Arrest,2024-04-03,Belagavi
496,569,788,Surrender,2025-01-30,Shivamogga
497,570,790,Arrest,2025-08-27,Davanagere
498,571,793,Arrest,2023-02-17,Tumakuru
499,572,794,Arrest,2026-08-02,Bidar
500,573,795,Arrest,2025-06-17,Chamarajanagar
501,574,796,Arrest,2022-12-01,Tumakuru
502,575,797,Arrest,2026-04-29,Hubballi-Dharwad
503,575,798,Arrest,2026-05-08,Hubballi-Dharwad
504,575,799,Arrest,2026-04-08,Hubballi-Dharwad
505,576,801,Arrest,2025-09-30,Mysuru
506,580,805,Arrest,2022-05-16,Belagavi
507,580,806,Arrest,2022-05-17,Belagavi
508,581,807,Arrest,2026-10-11,Bidar
509,582,808,Surrender,2024-07-12,Udupi
510,582,809,Arrest,2024-06-30,Udupi
511,583,810,Arrest,2024-11-04,Chikkamagaluru
512,584,811,Surrender,2023-06-25,Mangaluru (Dakshina Kannada)
513,585,813,Arrest,2023-05-15,Tumakuru
514,587,815,Arrest,2027-01-10,Hassan
515,587,816,Arrest,2027-01-18,Hassan
516,588,817,Surrender,2024-04-08,Mysuru
517,590,819,Arrest,2025-02-13,Belagavi
518,593,821,Arrest,2025-05-29,Mysuru
519,593,822,Arrest,2025-05-24,Mysuru
520,594,823,Arrest,2024-05-13,Bengaluru Rural
521,596,826,Arrest,2025-02-03,Belagavi
522,596,827,Arrest,2025-02-15,Belagavi
523,597,828,Arrest,2023-03-17,Ramanagara
524,597,829,Arrest,2023-03-14,Ramanagara
525,599,831,Arrest,2022-06-25,Belagavi
526,600,832,Arrest,2023-11-24,Belagavi
527,600,834,Arrest,2023-11-08,Belagavi
528,601,835,Arrest,2025-02-03,Bengaluru Rural
529,602,836,Arrest,2023-07-09,Shivamogga
530,603,839,Surrender,2022-11-10,Chamarajanagar
531,604,841,Arrest,2026-10-11,Belagavi
532,604,842,Arrest,2026-09-20,Belagavi
533,605,844,Arrest,2024-03-20,Belagavi
534,605,845,Arrest,2024-04-13,Belagavi
535,606,847,Arrest,2023-10-01,Belagavi
536,607,848,Arrest,2027-01-16,Kolar
537,607,849,Arrest,2026-12-12,Kolar
538,608,852,Arrest,2026-09-22,Belagavi
539,609,853,Arrest,2026-02-17,Bidar
540,610,854,Arrest,2024-09-21,Hassan
541,611,855,Arrest,2023-05-28,Gadag
