CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,Hour,TimeOfDay,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
71,100190003202400071,Hassan,3,2024-03-08,2024,3,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.96301,76.18122
72,100110004202600072,Davanagere,4,2026-07-20,2026,7,5,Night (12AM-6AM),PAR,Non-Heinous,Cyber Crime,Online Fraud,False Case,14.44875,75.9722
73,100220002202300073,Yadgir,2,2023-12-25,2023,12,7,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,16.77192,77.18138
74,100100003202600074,Shivamogga,3,2026-10-03,2026,10,8,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,13.84671,75.4835
75,400020002202400075,Bengaluru Rural,2,2024-10-05,2024,10,4,Night (12AM-6AM),UDR,Non-Heinous,Crimes Against Property,Theft,False Case,13.26157,77.57129
76,100040001202200076,Mangaluru (Dakshina Kannada),1,2022-11-24,2022,11,2,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Closed,12.80819,74.91443
77,100200003202600077,Chitradurga,3,2026-05-21,2026,5,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Undetected,14.27471,76.40622
78,100020004202400078,Bengaluru Rural,4,2024-08-24,2024,8,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Dacoity,False Case,13.27095,77.4571
79,100050001202600079,Belagavi,1,2026-01-23,2026,1,9,Morning (6AM-12PM),FIR,Heinous,Narcotics,NDPS Trafficking,False Case,15.81779,74.42276
80,700180001202500080,Mandya,1,2025-09-04,2025,9,10,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.56266,76.88901
81,700020003202200081,Bengaluru Rural,3,2022-01-20,2022,1,13,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Cyber Crime,Online Fraud,Closed,13.27174,77.46748
82,100050003202500082,Belagavi,3,2025-08-24,2025,8,21,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,15.81032,74.46376
83,100080004202600083,Ballari,4,2026-03-23,2026,3,19,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,15.15721,76.84059
84,100270003202400084,Bagalkot,3,2024-08-05,2024,8,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Murder,Closed,16.14946,75.65472
85,100090003202600085,Tumakuru,3,2026-06-23,2026,6,19,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,13.37776,77.17326
86,100110002202400086,Davanagere,2,2024-07-12,2024,7,9,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Phishing,Under Investigation,14.51714,75.83196
87,100040004202200087,Mangaluru (Dakshina Kannada),4,2022-03-25,2022,3,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,12.84902,74.94075
88,100170003202500088,Kolar,3,2025-12-26,2025,12,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,13.22153,78.10239
89,100070004202300089,Hubballi-Dharwad,4,2023-06-16,2023,6,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Undetected,15.36664,75.13284
90,100230001202500090,Chamarajanagar,1,2025-12-17,2025,12,15,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Closed,11.99134,76.94229
91,100030003202600091,Mysuru,3,2026-09-06,2026,9,20,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.22213,76.50858
92,100230002202500092,Chamarajanagar,2,2025-04-23,2025,4,19,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,11.90943,76.90154
93,100050002202500093,Belagavi,2,2025-08-12,2025,8,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,15.85156,74.48258
94,100010003202500094,Bengaluru City,3,2025-10-25,2025,10,6,Morning (6AM-12PM),PAR,Non-Heinous,Cyber Crime,Cyberstalking,Undetected,12.94448,77.55465
95,100290001202200095,Gadag,1,2022-01-13,2022,1,12,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.44056,75.62802
96,100040001202600096,Mangaluru (Dakshina Kannada),1,2026-06-09,2026,6,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Public Order,Rioting,Under Investigation,12.92092,74.90021
97,100230003202500097,Chamarajanagar,3,2025-04-06,2025,4,10,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,11.92683,76.98059
98,100010001202600098,Bengaluru City,1,2026-08-07,2026,8,0,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Assault,Under Investigation,12.89443,77.59253
99,700250004202400099,Ramanagara,4,2024-10-26,2024,10,7,Morning (6AM-12PM),Zero FIR,Non-Heinous,Cyber Crime,Online Fraud,False Case,12.77083,77.28688
100,100010001202600100,Bengaluru City,1,2026-02-22,2026,2,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,13.00138,77.64927
101,100110001202400101,Davanagere,1,2024-06-23,2024,6,16,Afternoon (12PM-6PM),PAR,Non-Heinous,Cyber Crime,Phishing,False Case,14.47934,75.97258
102,100030002202400102,Mysuru,2,2024-02-16,2024,2,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,12.33381,76.6757
103,100020002202600103,Bengaluru Rural,2,2026-11-21,2026,11,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.22874,77.49405
104,100050004202500104,Belagavi,4,2025-10-09,2025,10,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,15.89712,74.55648
105,100130001202500105,Raichur,1,2025-09-16,2025,9,20,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,16.33875,77.36294
106,100050001202200106,Belagavi,1,2022-01-20,2022,1,21,Evening (6PM-12AM),PAR,Non-Heinous,Cyber Crime,Online Fraud,Closed,15.70682,74.55973
107,100050004202300107,Belagavi,4,2023-03-03,2023,3,18,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.88758,74.5522
108,100020003202400108,Bengaluru Rural,3,2024-02-19,2024,2,19,Evening (6PM-12AM),FIR,Heinous,Crimes Against Women,Molestation,Under Investigation,13.259,77.6239
109,100040004202500109,Mangaluru (Dakshina Kannada),4,2025-10-12,2025,10,21,Evening (6PM-12AM),PAR,Heinous,Crimes Against Women,Molestation,False Case,12.99623,74.85936
110,100040001202400110,Mangaluru (Dakshina Kannada),1,2024-04-22,2024,4,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,12.92975,74.85398
111,100050001202200111,Belagavi,1,2022-08-06,2022,8,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.88879,74.535
112,100160001202600112,Udupi,1,2026-04-06,2026,4,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,13.28791,74.78943
113,100130002202600113,Raichur,2,2026-01-25,2026,1,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,16.24771,77.41369
114,100120001202500114,Vijayapura,1,2025-05-18,2025,5,4,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,16.73135,75.72744
115,100220002202500115,Yadgir,2,2025-12-16,2025,12,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,16.73606,77.14366
116,100190002202600116,Hassan,2,2026-05-25,2026,5,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Narcotics,NDPS Possession,False Case,13.04017,76.0442
117,100250003202600117,Ramanagara,3,2026-01-15,2026,1,21,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.64291,77.27192
118,100240003202300118,Kodagu,3,2023-12-25,2023,12,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Closed,12.44649,75.75403
119,100050003202600119,Belagavi,3,2026-07-17,2026,7,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,15.71815,74.46482
120,100100003202500120,Shivamogga,3,2025-09-13,2025,9,0,Night (12AM-6AM),PAR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,13.93056,75.65426
121,100080002202400121,Ballari,2,2024-11-21,2024,11,18,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,15.17727,76.95021
122,400090002202600122,Tumakuru,2,2026-02-08,2026,2,7,Morning (6AM-12PM),UDR,Non-Heinous,Economic Offences,Cheating,False Case,13.41759,77.21824
123,100100001202400123,Shivamogga,1,2024-08-17,2024,8,5,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.95029,75.59571
124,100110002202200124,Davanagere,2,2022-05-09,2022,5,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,14.40483,75.91001
125,100230002202300125,Chamarajanagar,2,2023-02-16,2023,2,18,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,11.86443,76.94226
126,100280001202300126,Haveri,1,2023-08-23,2023,8,3,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Forgery,Undetected,14.80969,75.34737
127,700070003202300127,Hubballi-Dharwad,3,2023-04-21,2023,4,7,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,15.40616,75.21016
128,100190002202400128,Hassan,2,2024-03-05,2024,3,4,Night (12AM-6AM),FIR,Heinous,Crimes Against Body,Assault,Closed,12.92913,76.04058
129,400260001202400129,Chikkaballapur,1,2024-02-19,2024,2,19,Evening (6PM-12AM),UDR,Non-Heinous,Crimes Against Body,Assault,Under Investigation,13.36669,77.72302
130,100160001202500130,Udupi,1,2025-09-13,2025,9,9,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Undetected,13.44455,74.71436
131,100190004202600131,Hassan,4,2026-01-14,2026,1,10,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Closed,12.97771,76.09249
132,100050004202500132,Belagavi,4,2025-08-02,2025,8,23,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Phishing,Under Investigation,15.74042,74.60286
133,100040002202300133,Mangaluru (Dakshina Kannada),2,2023-05-16,2023,5,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Charge Sheeted,12.88713,74.94478
134,100020004202400134,Bengaluru Rural,4,2024-04-23,2024,4,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.3013,77.47144
135,100110003202300135,Davanagere,3,2023-05-01,2023,5,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,14.61404,75.86689
136,100230001202200136,Chamarajanagar,1,2022-03-22,2022,3,23,Evening (6PM-12AM),FIR,Heinous,Crimes Against Body,Assault,Charge Sheeted,11.96157,76.8986
137,100020003202300137,Bengaluru Rural,3,2023-08-01,2023,8,20,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.33823,77.59914
138,100050001202500138,Belagavi,1,2025-12-05,2025,12,4,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,15.8206,74.61098
139,100200002202600139,Chitradurga,2,2026-08-25,2026,8,13,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Undetected,14.30029,76.46188
140,100020002202600140,Bengaluru Rural,2,2026-08-16,2026,8,7,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Online Fraud,False Case,13.3806,77.57935
141,100090002202500141,Tumakuru,2,2025-03-09,2025,3,9,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,13.29372,77.119
142,100280001202400142,Haveri,1,2024-04-18,2024,4,18,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Closed,14.71432,75.37758
143,100050001202400143,Belagavi,1,2024-11-12,2024,11,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,15.96767,74.40483
144,100030002202200144,Mysuru,2,2022-10-09,2022,10,18,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,12.35923,76.66212
145,100030001202600145,Mysuru,1,2026-09-21,2026,9,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.30415,76.63365
146,100110004202200146,Davanagere,4,2022-03-20,2022,3,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,14.53511,75.93375
147,100140002202500147,Bidar,2,2025-01-20,2025,1,7,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Murder,Under Investigation,17.84387,77.53367
148,100290001202500148,Gadag,1,2025-12-04,2025,12,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,15.43891,75.55209
149,100170004202600149,Kolar,4,2026-02-04,2026,2,6,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Murder,Closed,13.17746,78.16257
150,400180002202400150,Mandya,2,2024-08-01,2024,8,1,Night (12AM-6AM),UDR,Non-Heinous,Crimes Against Property,Burglary,Closed,12.53855,76.91203
151,100020004202600151,Bengaluru Rural,4,2026-02-07,2026,2,8,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,False Case,13.22954,77.4827
152,100010004202200152,Bengaluru City,4,2022-02-19,2022,2,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.90076,77.58765
153,100130003202400153,Raichur,3,2024-08-04,2024,8,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,16.26771,77.43192
154,100170001202200154,Kolar,1,2022-04-06,2022,4,0,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.20204,78.17428
155,100210003202500155,Koppal,3,2025-06-26,2025,6,9,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Forgery,Undetected,15.32448,76.17532
156,100100003202600156,Shivamogga,3,2026-10-08,2026,10,4,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Under Investigation,13.91112,75.51899
157,100110002202400157,Davanagere,2,2024-05-05,2024,5,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,14.5288,75.89743
