AccusedMasterID,CaseMasterID,PersonID,GenderID,AgeYear,District,ModusOperandi,RepeatIdentity
130,100,A2,M,29,Bengaluru City,Forged Document Trail,130
131,101,A1,M,32,Davanagere,Phishing Link / OTP Fraud,131
132,101,A2,M,22,Davanagere,Fake Investment App,132
133,101,A3,M,25,Davanagere,Social Media Impersonation,133
134,102,A1,M,21,Mysuru,Confrontation over Dispute,134
135,102,A2,M,26,Mysuru,Group Attack (Prior Enmity),135
136,102,A3,F,29,Mysuru,Sudden Armed Assault,136
137,103,A1,M,27,Bengaluru Rural,Vehicle Theft (Parked),137
138,104,A1,M,28,Belagavi,Shell Company Cheating,138
139,105,A1,M,19,Raichur,Forged Document Trail,139
140,105,A2,M,20,Raichur,Cheque Bounce Fraud,140
141,106,A1,F,16,Belagavi,Fake Investment App,141
142,107,A1,M,16,Belagavi,Break-in via Rear Entry,142
143,108,A1,M,24,Bengaluru Rural,Workplace Harassment,143
144,109,A1,M,26,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,144
145,110,A1,M,36,Mangaluru (Dakshina Kannada),Dowry-Related Coercion,145
146,111,A1,M,31,Belagavi,Break-in via Rear Entry,146
147,112,A1,F,16,Udupi,Night-time House Break-in,147
148,113,A1,M,21,Raichur,Dowry-Related Coercion,148
149,114,A1,M,16,Vijayapura,Social Media Impersonation,149
150,115,A1,M,16,Yadgir,Forged Document Trail,150
151,116,A1,M,35,Hassan,Home Cultivation/Storage,151
152,117,A1,M,34,Ramanagara,Vehicle Theft (Parked),152
153,118,A1,M,36,Kodagu,Known-Person Domestic Abuse,153
154,119,A1,M,39,Belagavi,Snatching in Transit,154
155,120,A1,M,33,Shivamogga,Group Attack (Prior Enmity),155
156,120,A2,M,46,Shivamogga,Sudden Armed Assault,156
157,121,A1,M,26,Ballari,Group Attack (Prior Enmity),157
158,121,A2,M,16,Ballari,Confrontation over Dispute,158
159,122,A1,M,34,Tumakuru,Cheque Bounce Fraud,159
160,123,A1,M,21,Shivamogga,Shell Company Cheating,160
161,123,A2,M,35,Shivamogga,Cheque Bounce Fraud,161
162,124,A1,M,25,Davanagere,Shop Lock-Break,162
163,124,A2,M,28,Davanagere,Shop Lock-Break,163
164,125,A1,M,34,Chamarajanagar,Shop Lock-Break,164
165,125,A2,M,20,Chamarajanagar,Shop Lock-Break,165
166,127,A1,M,33,Hubballi-Dharwad,Vehicle Theft (Parked),166
167,128,A1,M,21,Hassan,Weapon-Assisted Assault,167
168,129,A1,M,30,Chikkaballapur,Confrontation over Dispute,168
169,131,A1,M,18,Hassan,Sudden Armed Assault,169
170,132,A1,M,27,Belagavi,SIM-Swap Fraud,170
171,132,A2,M,52,Belagavi,Social Media Impersonation,171
172,133,A1,M,23,Mangaluru (Dakshina Kannada),Fake Investment App,172
173,134,A1,M,24,Bengaluru Rural,Known-Person Domestic Abuse,173
174,135,A1,M,39,Davanagere,Weapon-Assisted Assault,174
175,135,A2,M,27,Davanagere,Group Attack (Prior Enmity),175
176,135,A3,M,35,Davanagere,Confrontation over Dispute,176
177,136,A1,M,29,Chamarajanagar,Confrontation over Dispute,177
178,137,A1,M,21,Bengaluru Rural,Forged Document Trail,178
179,137,A2,M,28,Bengaluru Rural,Forged Document Trail,179
180,137,A3,F,23,Bengaluru Rural,Shell Company Cheating,180
181,138,A1,M,37,Belagavi,Weapon-Assisted Assault,181
182,140,A1,M,26,Bengaluru Rural,SIM-Swap Fraud,182
183,141,A1,M,38,Tumakuru,Cheque Bounce Fraud,183
184,141,A2,M,28,Tumakuru,Shell Company Cheating,184
185,142,A1,M,43,Haveri,Cheque Bounce Fraud,185
186,144,A1,M,27,Mysuru,Social Media Impersonation,186
187,145,A1,M,24,Mysuru,Break-in via Rear Entry,187
188,145,A2,M,25,Mysuru,Snatching in Transit,188
189,146,A1,M,32,Davanagere,Shop Lock-Break,189
190,147,A1,F,30,Bidar,Sudden Armed Assault,190
191,147,A2,M,40,Bidar,Sudden Armed Assault,191
192,147,A3,M,21,Bidar,Weapon-Assisted Assault,192
193,149,A1,F,32,Kolar,Group Attack (Prior Enmity),193
194,149,A2,F,22,Kolar,Sudden Armed Assault,194
195,149,A3,M,24,Kolar,Sudden Armed Assault,195
196,150,A1,M,53,Mandya,Snatching in Transit,196
197,151,A1,M,16,Bengaluru Rural,Shop Lock-Break,197
198,151,A2,M,34,Bengaluru Rural,Shop Lock-Break,198
199,152,A1,M,26,Bengaluru City,Snatching in Transit,199
200,152,A2,M,32,Bengaluru City,Snatching in Transit,200
201,153,A1,F,20,Raichur,Shop Lock-Break,201
202,154,A1,M,31,Kolar,Dowry-Related Coercion,202
203,156,A1,M,18,Shivamogga,Chit Fund Default,203
204,157,A1,F,23,Davanagere,Break-in via Rear Entry,204
205,159,A1,M,22,Mangaluru (Dakshina Kannada),Group Attack (Prior Enmity),205
206,159,A2,M,28,Mangaluru (Dakshina Kannada),Weapon-Assisted Assault,206
207,159,A3,M,25,Mangaluru (Dakshina Kannada),Confrontation over Dispute,207
208,160,A1,M,40,Bengaluru City,Known-Person Domestic Abuse,208
209,160,A2,M,30,Bengaluru City,Workplace Harassment,209
210,160,A3,M,16,Bengaluru City,Stalking Prior to Offence,210
211,161,A1,M,32,Hassan,Workplace Harassment,211
212,161,A2,M,16,Hassan,Dowry-Related Coercion,212
213,162,A1,M,16,Davanagere,Forged Document Trail,213
214,163,A1,M,33,Bengaluru Rural,Shop Lock-Break,214
215,163,A2,M,16,Bengaluru Rural,Break-in via Rear Entry,215
216,164,A1,M,16,Hassan,Workplace Harassment,216
217,165,A1,M,37,Mangaluru (Dakshina Kannada),Forged Document Trail,217
218,165,A2,M,38,Mangaluru (Dakshina Kannada),Forged Document Trail,218
219,166,A1,M,31,Shivamogga,Sudden Armed Assault,219
220,167,A1,M,38,Bengaluru Rural,Forged Document Trail,220
221,168,A1,F,43,Kodagu,Known-Person Domestic Abuse,221
222,168,A2,M,40,Kodagu,Stalking Prior to Offence,222
223,169,A1,M,16,Mangaluru (Dakshina Kannada),Shell Company Cheating,223
224,170,A1,M,32,Davanagere,Sudden Armed Assault,224
225,171,A1,M,28,Mysuru,Vehicle Theft (Parked),225
226,173,A1,M,38,Hassan,Sudden Armed Assault,226
227,174,A1,M,43,Hassan,Shell Company Cheating,227
228,174,A2,F,26,Hassan,Cheque Bounce Fraud,228
229,174,A3,M,41,Hassan,Cheque Bounce Fraud,229
230,175,A1,M,30,Ballari,Group Attack (Prior Enmity),230
231,176,A1,M,28,Gadag,Sudden Armed Assault,231
232,176,A2,M,40,Gadag,Confrontation over Dispute,232
233,177,A1,M,21,Bagalkot,Night-time House Break-in,233
234,178,A1,M,24,Bengaluru Rural,Stalking Prior to Offence,234
235,178,A2,M,42,Bengaluru Rural,Stalking Prior to Offence,235
236,179,A1,F,27,Raichur,Night-time House Break-in,236
237,179,A2,M,32,Raichur,Shop Lock-Break,237
238,180,A1,M,20,Raichur,Phishing Link / OTP Fraud,238
239,181,A1,M,27,Hubballi-Dharwad,Fake Investment App,239
240,182,A1,M,27,Belagavi,Sudden Armed Assault,240
241,182,A2,M,36,Belagavi,Group Attack (Prior Enmity),241
242,183,A1,M,53,Belagavi,Dowry-Related Coercion,242
243,184,A1,M,31,Mysuru,Confrontation over Dispute,243
244,184,A2,M,29,Mysuru,Sudden Armed Assault,244
245,184,A3,M,18,Mysuru,Weapon-Assisted Assault,245
246,185,A1,M,16,Bengaluru Rural,Sudden Armed Assault,246
247,186,A1,M,23,Haveri,Sudden Armed Assault,247
248,187,A1,F,29,Bengaluru City,Night-time House Break-in,248
249,188,A1,F,37,Davanagere,Shell Company Cheating,249
250,188,A2,M,40,Davanagere,Chit Fund Default,250
251,189,A1,M,26,Koppal,Stalking Prior to Offence,251
252,190,A1,M,31,Ballari,Known-Person Domestic Abuse,252
253,191,A1,M,30,Udupi,Snatching in Transit,253
254,191,A2,M,16,Udupi,Vehicle Theft (Parked),254
255,192,A1,M,20,Koppal,Workplace Harassment,255
256,193,A1,M,23,Kalaburagi,Shop Lock-Break,256
257,193,A2,M,30,Kalaburagi,Snatching in Transit,257
258,193,A3,M,28,Kalaburagi,Vehicle Theft (Parked),258
259,194,A1,M,29,Bagalkot,Dowry-Related Coercion,259
260,194,A2,M,18,Bagalkot,Known-Person Domestic Abuse,260
261,195,A1,M,23,Mangaluru (Dakshina Kannada),Weapon-Assisted Assault,261
262,196,A1,F,23,Mysuru,Stalking Prior to Offence,262
263,197,A1,M,21,Bengaluru City,Stalking Prior to Offence,263
264,198,A1,M,22,Chamarajanagar,Vehicle Theft (Parked),264
265,198,A2,M,24,Chamarajanagar,Break-in via Rear Entry,265
266,199,A1,M,16,Belagavi,Confrontation over Dispute,266
267,201,A1,M,35,Raichur,Shell Company Cheating,267
268,201,A2,M,41,Raichur,Shell Company Cheating,268
269,201,A3,M,30,Raichur,Cheque Bounce Fraud,269
270,202,A1,M,42,Bagalkot,Cheque Bounce Fraud,270
271,203,A1,F,35,Haveri,Dowry-Related Coercion,271
272,204,A1,M,26,Tumakuru,SIM-Swap Fraud,272
273,204,A2,M,44,Tumakuru,Social Media Impersonation,273
274,205,A1,M,56,Chamarajanagar,Fake Investment App,274
275,206,A1,M,26,Bengaluru Rural,Chit Fund Default,275
276,207,A1,M,24,Tumakuru,Organized Group Mobilization,276
277,208,A1,M,24,Mysuru,Shop Lock-Break,277
278,209,A1,M,19,Hassan,Dowry-Related Coercion,278
279,210,A1,M,41,Hubballi-Dharwad,Stalking Prior to Offence,279
280,211,A1,M,25,Davanagere,Fake Investment App,280
281,212,A1,M,34,Tumakuru,Social Media Impersonation,281
282,212,A2,F,23,Tumakuru,Phishing Link / OTP Fraud,282
283,213,A1,M,24,Hassan,Cheque Bounce Fraud,283
284,213,A2,F,32,Hassan,Chit Fund Default,284
285,214,A1,M,36,Kodagu,Group Attack (Prior Enmity),285
286,214,A2,F,43,Kodagu,Group Attack (Prior Enmity),286
287,215,A1,M,30,Belagavi,Sudden Armed Assault,287
288,217,A1,M,17,Koppal,Shell Company Cheating,288
289,218,A1,M,38,Mangaluru (Dakshina Kannada),Known-Person Domestic Abuse,289
290,219,A1,M,31,Tumakuru,Dowry-Related Coercion,290
291,220,A1,M,29,Mangaluru (Dakshina Kannada),Sudden Armed Assault,291
292,221,A1,M,16,Ramanagara,Known-Person Domestic Abuse,292
293,223,A1,M,36,Davanagere,Group Attack (Prior Enmity),293
294,223,A2,M,21,Davanagere,Weapon-Assisted Assault,294
295,223,A3,M,24,Davanagere,Weapon-Assisted Assault,295
296,224,A1,M,32,Mysuru,Weapon-Assisted Assault,296
297,224,A2,M,28,Mysuru,Sudden Armed Assault,297
298,225,A1,M,16,Chikkamagaluru,Confrontation over Dispute,298
299,226,A1,F,36,Hubballi-Dharwad,Snatching in Transit,299
300,227,A1,M,24,Tumakuru,Weapon-Assisted Assault,300
301,228,A1,M,28,Vijayapura,Chit Fund Default,301
302,229,A1,M,32,Tumakuru,Fake Investment App,302
303,229,A2,M,24,Tumakuru,Social Media Impersonation,303
304,229,A3,M,29,Tumakuru,Social Media Impersonation,304
305,230,A1,F,23,Belagavi,Shop Lock-Break,305
306,231,A1,M,18,Bidar,Social-Media Incited Assembly,306
307,232,A1,M,34,Bengaluru City,Vehicle Theft (Parked),307
308,233,A1,M,23,Mysuru,Phishing Link / OTP Fraud,308
309,233,A2,M,32,Mysuru,Social Media Impersonation,309
310,234,A1,M,30,Kalaburagi,Fake Investment App,310
311,234,A2,M,36,Kalaburagi,Social Media Impersonation,311
312,235,A1,M,39,Bengaluru City,Cheque Bounce Fraud,312
313,235,A2,F,38,Bengaluru City,Shell Company Cheating,313
314,235,A3,M,20,Bengaluru City,Cheque Bounce Fraud,314
315,236,A1,M,47,Mysuru,Home Cultivation/Storage,315
316,236,A2,M,34,Mysuru,Courier via Public Transport,316
317,236,A3,M,23,Mysuru,Home Cultivation/Storage,317
318,237,A1,M,32,Belagavi,Break-in via Rear Entry,318
319,237,A2,M,24,Belagavi,Vehicle Theft (Parked),319
320,238,A1,F,31,Bengaluru Rural,Confrontation over Dispute,320
321,238,A2,M,16,Bengaluru Rural,Sudden Armed Assault,321
322,238,A3,M,28,Bengaluru Rural,Weapon-Assisted Assault,322
323,239,A1,M,16,Davanagere,Forged Document Trail,323
324,240,A1,M,22,Ramanagara,Social Media Impersonation,324
325,241,A1,F,26,Bidar,Cheque Bounce Fraud,325
326,241,A2,M,29,Bidar,Shell Company Cheating,326
327,241,A3,M,36,Bidar,Chit Fund Default,327
328,242,A1,M,43,Bengaluru Rural,Forged Document Trail,328
329,243,A1,M,30,Mysuru,Break-in via Rear Entry,329
330,244,A1,M,23,Tumakuru,Shop Lock-Break,330
331,245,A1,M,23,Belagavi,Cheque Bounce Fraud,331
332,245,A2,M,16,Belagavi,Cheque Bounce Fraud,332
333,246,A1,M,23,Davanagere,Shop Lock-Break,333
334,247,A1,M,27,Uttara Kannada,Vehicle Theft (Parked),334
335,247,A2,M,24,Uttara Kannada,Vehicle Theft (Parked),335
336,248,A1,M,32,Mandya,Stalking Prior to Offence,336
337,248,A2,M,32,Mandya,Stalking Prior to Offence,337
338,249,A1,M,58,Kodagu,Shop Lock-Break,338
339,250,A1,F,20,Udupi,Forged Document Trail,339
340,251,A1,M,20,Ballari,Shop Lock-Break,340
341,252,A1,M,45,Belagavi,Home Cultivation/Storage,341
342,252,A2,M,26,Belagavi,Home Cultivation/Storage,342
343,253,A1,M,32,Bengaluru Rural,Courier via Public Transport,343
344,253,A2,M,44,Bengaluru Rural,Home Cultivation/Storage,344
345,253,A3,M,19,Bengaluru Rural,Courier via Public Transport,345
346,254,A1,F,27,Bengaluru Rural,Courier via Public Transport,346
347,254,A2,M,30,Bengaluru Rural,Home Cultivation/Storage,347
348,254,A3,M,31,Bengaluru Rural,Cross-Border Transit Route,348
349,255,A1,M,17,Mysuru,Chit Fund Default,349
350,256,A1,M,29,Davanagere,Night-time House Break-in,350
351,257,A1,M,28,Bengaluru City,Dowry-Related Coercion,351
352,258,A1,M,39,Bengaluru Rural,Courier via Public Transport,352
353,260,A1,M,34,Vijayapura,Chit Fund Default,353
354,261,A1,M,32,Belagavi,Night-time House Break-in,354
355,261,A2,M,35,Belagavi,Night-time House Break-in,355
356,262,A1,M,36,Mangaluru (Dakshina Kannada),Social Media Impersonation,356
357,262,A2,M,35,Mangaluru (Dakshina Kannada),SIM-Swap Fraud,357
358,262,A3,F,36,Mangaluru (Dakshina Kannada),Phishing Link / OTP Fraud,358
359,263,A1,M,32,Mangaluru (Dakshina Kannada),Workplace Harassment,359
360,263,A2,M,27,Mangaluru (Dakshina Kannada),Workplace Harassment,360
361,264,A1,M,36,Davanagere,SIM-Swap Fraud,361
362,264,A2,M,34,Davanagere,SIM-Swap Fraud,362
363,265,A1,M,31,Udupi,Social-Media Incited Assembly,363
364,265,A2,M,31,Udupi,Social-Media Incited Assembly,364
365,265,A3,M,44,Udupi,Social-Media Incited Assembly,365
366,267,A1,M,16,Bengaluru Rural,Confrontation over Dispute,366
367,267,A2,M,32,Bengaluru Rural,Weapon-Assisted Assault,367
368,268,A1,M,29,Uttara Kannada,Snatching in Transit,368
369,269,A1,M,16,Bidar,Fake Investment App,369
370,270,A1,M,48,Belagavi,Stalking Prior to Offence,370
371,270,A2,M,23,Belagavi,Workplace Harassment,371
372,271,A1,M,30,Belagavi,Shop Lock-Break,372
373,271,A2,M,57,Belagavi,Shop Lock-Break,373
374,272,A1,M,33,Belagavi,Group Attack (Prior Enmity),374
375,273,A1,M,23,Tumakuru,Shell Company Cheating,375
376,273,A2,M,30,Tumakuru,Cheque Bounce Fraud,376
377,274,A1,M,22,Raichur,Weapon-Assisted Assault,377
378,275,A1,M,25,Kodagu,Break-in via Rear Entry,378
379,276,A1,M,33,Chikkamagaluru,Snatching in Transit,379
380,277,A1,M,33,Mangaluru (Dakshina Kannada),Break-in via Rear Entry,380
381,277,A2,M,35,Mangaluru (Dakshina Kannada),Snatching in Transit,381
382,278,A1,M,26,Bengaluru Rural,Dowry-Related Coercion,382
383,279,A1,M,46,Chamarajanagar,Workplace Harassment,383
384,279,A2,M,36,Chamarajanagar,Dowry-Related Coercion,384
385,280,A1,M,41,Kodagu,Snatching in Transit,385
386,281,A1,M,30,Bengaluru Rural,Vehicle Theft (Parked),386
387,281,A2,M,22,Bengaluru Rural,Night-time House Break-in,387
388,281,A3,M,16,Bengaluru Rural,Shop Lock-Break,388
389,283,A1,M,28,Mysuru,Social-Media Incited Assembly,389
390,283,A2,M,29,Mysuru,Organized Group Mobilization,390
391,284,A1,M,30,Mangaluru (Dakshina Kannada),Vehicle Theft (Parked),391
392,285,A1,M,38,Hassan,Cheque Bounce Fraud,392
393,285,A2,M,27,Hassan,Forged Document Trail,393
394,285,A3,M,16,Hassan,Chit Fund Default,394
395,286,A1,M,16,Hubballi-Dharwad,Night-time House Break-in,395
396,287,A1,M,21,Tumakuru,Shop Lock-Break,396
397,288,A1,M,16,Raichur,Stalking Prior to Offence,397
398,289,A1,M,28,Mangaluru (Dakshina Kannada),Shell Company Cheating,398
399,289,A2,M,22,Mangaluru (Dakshina Kannada),Forged Document Trail,399
400,289,A3,M,31,Mangaluru (Dakshina Kannada),Forged Document Trail,400
401,290,A1,M,16,Kodagu,Snatching in Transit,401
402,291,A1,F,46,Hassan,Snatching in Transit,402
403,291,A2,M,24,Hassan,Night-time House Break-in,403
404,291,A3,M,22,Hassan,Shop Lock-Break,404
405,292,A1,M,16,Chamarajanagar,Home Cultivation/Storage,405
406,292,A2,M,18,Chamarajanagar,Cross-Border Transit Route,406
407,293,A1,M,27,Tumakuru,Snatching in Transit,407
408,293,A2,M,36,Tumakuru,Break-in via Rear Entry,408
409,293,A3,M,22,Tumakuru,Night-time House Break-in,409
410,295,A1,M,45,Belagavi,Fake Investment App,410
411,296,A1,M,38,Chitradurga,Weapon-Assisted Assault,411
412,296,A2,M,30,Chitradurga,Sudden Armed Assault,412
413,297,A1,M,35,Belagavi,Sudden Armed Assault,413
414,298,A1,M,18,Davanagere,Shop Lock-Break,414
415,299,A1,M,31,Udupi,Vehicle Theft (Parked),415
416,300,A1,M,26,Hassan,Shell Company Cheating,416
417,300,A2,M,16,Hassan,Shell Company Cheating,417
418,301,A1,M,36,Kodagu,Known-Person Domestic Abuse,418
419,302,A1,M,30,Belagavi,Known-Person Domestic Abuse,419
420,303,A1,M,46,Shivamogga,Known-Person Domestic Abuse,420
421,304,A1,F,16,Chikkaballapur,Workplace Harassment,421
422,304,A2,M,41,Chikkaballapur,Known-Person Domestic Abuse,422
423,304,A3,M,28,Chikkaballapur,Known-Person Domestic Abuse,423
424,305,A1,M,34,Hubballi-Dharwad,Night-time House Break-in,424
425,305,A2,M,40,Hubballi-Dharwad,Shop Lock-Break,425
426,306,A1,M,35,Bengaluru Rural,Forged Document Trail,426
427,306,A2,F,17,Bengaluru Rural,Shell Company Cheating,427
428,307,A1,M,28,Chitradurga,Night-time House Break-in,428
429,307,A2,M,22,Chitradurga,Snatching in Transit,429
430,308,A1,M,32,Kodagu,Cheque Bounce Fraud,430
431,309,A1,M,40,Kodagu,Shop Lock-Break,431
432,310,A1,M,44,Davanagere,Weapon-Assisted Assault,432
