CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
15,100250003202200015,Ramanagara,3,2022-10-04,2022,10,FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,12.73567,77.29526
16,100170004202500016,Kolar,4,2025-12-26,2025,12,PAR,Non-Heinous,Crimes Against Property,Burglary,Closed,13.16945,78.26946
17,100020001202600017,Bengaluru Rural,1,2026-10-19,2026,10,PAR,Non-Heinous,Economic Offences,Cheating,Closed,13.29289,77.59961
18,100130004202600018,Raichur,4,2026-01-08,2026,1,PAR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,16.28726,77.34215
19,100130003202200019,Raichur,3,2022-03-24,2022,3,FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,16.19625,77.36602
20,100020001202400020,Bengaluru Rural,1,2024-10-25,2024,10,FIR,Heinous,Crimes Against Body,Assault,Charge Sheeted,13.30458,77.55245
21,400110002202500021,Davanagere,2,2025-03-15,2025,3,UDR,Non-Heinous,Crimes Against Women,Dowry Harassment,Charge Sheeted,14.46478,76.07766
22,100180003202200022,Mandya,3,2022-06-23,2022,6,FIR,Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,12.66942,76.92189
23,100030003202300023,Mysuru,3,2023-06-23,2023,6,PAR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Under Investigation,12.26925,76.7267
24,700050003202400024,Belagavi,3,2024-12-16,2024,12,Zero FIR,Non-Heinous,Crimes Against Property,Theft,Closed,15.8345,74.48815
25,100230002202400025,Chamarajanagar,2,2024-08-09,2024,8,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,11.87027,76.94136
26,100040002202500026,Mangaluru (Dakshina Kannada),2,2025-01-20,2025,1,FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Closed,12.84472,74.83837
27,400190002202400027,Hassan,2,2024-01-24,2024,1,UDR,Non-Heinous,Public Order,Rioting,Under Investigation,12.96824,76.0643
28,700230002202500028,Chamarajanagar,2,2025-05-22,2025,5,Zero FIR,Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,11.95187,76.91359
29,100050001202500029,Belagavi,1,2025-06-22,2025,6,FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.77345,74.39386
30,100080002202500030,Ballari,2,2025-11-10,2025,11,FIR,Non-Heinous,Cyber Crime,Phishing,Under Investigation,15.03706,76.82446
31,100050002202500031,Belagavi,2,2025-04-22,2025,4,PAR,Non-Heinous,Crimes Against Property,Burglary,Closed,15.81965,74.47158
32,100040004202200032,Mangaluru (Dakshina Kannada),4,2022-12-13,2022,12,FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,12.85947,74.88951
33,100050004202400033,Belagavi,4,2024-07-22,2024,7,FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.93737,74.51466
34,700010003202200034,Bengaluru City,3,2022-09-17,2022,9,Zero FIR,Heinous,Crimes Against Women,Dowry Harassment,False Case,13.00258,77.5723
35,100170001202500035,Kolar,1,2025-04-20,2025,4,FIR,Heinous,Crimes Against Women,Sexual Assault,Closed,13.13982,78.05164
36,100110002202500036,Davanagere,2,2025-03-20,2025,3,FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,14.52414,75.98535
37,100100003202400037,Shivamogga,3,2024-01-21,2024,1,FIR,Non-Heinous,Crimes Against Property,Theft,Undetected,13.90103,75.65437
38,100240004202400038,Kodagu,4,2024-05-14,2024,5,FIR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,12.29233,75.75324
39,100240002202400039,Kodagu,2,2024-11-10,2024,11,FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.39202,75.80877
40,100040001202300040,Mangaluru (Dakshina Kannada),1,2023-12-06,2023,12,FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,12.91788,74.74248
41,100050001202500041,Belagavi,1,2025-06-03,2025,6,FIR,Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,15.80914,74.44596
42,700230003202300042,Chamarajanagar,3,2023-08-12,2023,8,Zero FIR,Non-Heinous,Cyber Crime,Online Fraud,False Case,11.95536,77.02741
43,100110004202300043,Davanagere,4,2023-02-24,2023,2,FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,14.48176,75.90046
44,100190003202600044,Hassan,3,2026-10-06,2026,10,FIR,Non-Heinous,Crimes Against Property,Burglary,Undetected,12.99055,76.05797
45,100140001202400045,Bidar,1,2024-02-25,2024,2,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,17.9382,77.42806
46,100290002202500046,Gadag,2,2025-06-05,2025,6,FIR,Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,15.47701,75.63697
47,700140004202500047,Bidar,4,2025-04-01,2025,4,Zero FIR,Non-Heinous,Cyber Crime,Online Fraud,Under Investigation,17.91353,77.50347
48,100060004202600048,Kalaburagi,4,2026-01-10,2026,1,FIR,Non-Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,17.33582,76.78856
49,700050004202300049,Belagavi,4,2023-03-10,2023,3,Zero FIR,Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,15.78538,74.525
50,100130004202600050,Raichur,4,2026-06-18,2026,6,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,16.12371,77.25368
51,100300001202500051,Uttara Kannada,1,2025-02-03,2025,2,FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,14.82518,74.63216
52,100090001202600052,Tumakuru,1,2026-01-16,2026,1,FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,13.33809,77.07231
53,100040003202600053,Mangaluru (Dakshina Kannada),3,2026-03-14,2026,3,FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.95551,74.88439
54,100080001202400054,Ballari,1,2024-10-26,2024,10,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,15.12412,76.83096
55,100110003202400055,Davanagere,3,2024-10-04,2024,10,FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,14.46376,75.83922
56,100160001202300056,Udupi,1,2023-03-12,2023,3,FIR,Non-Heinous,Crimes Against Property,Robbery,False Case,13.30045,74.69936
57,100190001202600057,Hassan,1,2026-09-15,2026,9,FIR,Non-Heinous,Crimes Against Property,Theft,Undetected,13.03987,76.06953
58,100020003202400058,Bengaluru Rural,3,2024-07-27,2024,7,FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,13.34729,77.55808
59,100050001202200059,Belagavi,1,2022-05-14,2022,5,FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,15.84277,74.44754
60,100110002202200060,Davanagere,2,2022-09-05,2022,9,FIR,Non-Heinous,Crimes Against Property,Theft,Closed,14.38482,75.92041
61,400230001202300061,Chamarajanagar,1,2023-12-26,2023,12,UDR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,11.90853,76.79676
62,100050003202300062,Belagavi,3,2023-09-24,2023,9,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.84837,74.40393
63,700260001202400063,Chikkaballapur,1,2024-03-22,2024,3,Zero FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,13.46144,77.6999
64,100050001202300064,Belagavi,1,2023-07-08,2023,7,FIR,Non-Heinous,Economic Offences,Cheating,False Case,15.87399,74.40138
65,100090001202400065,Tumakuru,1,2024-12-08,2024,12,FIR,Non-Heinous,Crimes Against Property,Theft,Closed,13.28295,77.07699
66,700040003202200066,Mangaluru (Dakshina Kannada),3,2022-12-26,2022,12,Zero FIR,Non-Heinous,Crimes Against Body,Murder,Closed,12.94489,74.83087
67,100190003202500067,Hassan,3,2025-05-17,2025,5,FIR,Heinous,Crimes Against Women,Domestic Violence,Closed,13.05063,76.08624
68,100090003202400068,Tumakuru,3,2024-12-12,2024,12,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,13.42889,77.09891
69,100150003202600069,Chikkamagaluru,3,2026-09-11,2026,9,FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,13.32267,75.8395
70,100050002202500070,Belagavi,2,2025-03-24,2025,3,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,15.81272,74.49634
71,100080002202600071,Ballari,2,2026-04-10,2026,4,FIR,Heinous,Crimes Against Body,Murder,Closed,15.25925,76.92934
72,700090002202500072,Tumakuru,2,2025-01-24,2025,1,Zero FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.40981,77.10708
73,100200004202600073,Chitradurga,4,2026-10-27,2026,10,FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,14.2154,76.29166
74,100160004202300074,Udupi,4,2023-09-05,2023,9,FIR,Non-Heinous,Economic Offences,Cheating,Closed,13.28449,74.70401
75,100010001202300075,Bengaluru City,1,2023-11-15,2023,11,FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,12.9125,77.56727
76,400020003202400076,Bengaluru Rural,3,2024-02-06,2024,2,UDR,Non-Heinous,Crimes Against Property,Burglary,False Case,13.30189,77.53886
77,700020003202500077,Bengaluru Rural,3,2025-06-22,2025,6,Zero FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,13.34927,77.48081
78,100190004202300078,Hassan,4,2023-06-04,2023,6,FIR,Heinous,Crimes Against Women,Dowry Harassment,Closed,13.08227,76.13468
79,700070004202600079,Hubballi-Dharwad,4,2026-02-14,2026,2,Zero FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.35105,75.0271
80,100050001202600080,Belagavi,1,2026-01-23,2026,1,FIR,Heinous,Narcotics,NDPS Trafficking,False Case,15.81779,74.42276
81,100140001202600081,Bidar,1,2026-12-15,2026,12,FIR,Non-Heinous,Crimes Against Women,Molestation,Closed,17.94886,77.51311
82,700020004202200082,Bengaluru Rural,4,2022-07-23,2022,7,Zero FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,13.25361,77.60888
83,100050002202500083,Belagavi,2,2025-09-24,2025,9,FIR,Non-Heinous,Cyber Crime,Online Fraud,Closed,15.81256,74.45832
84,100020004202400084,Bengaluru Rural,4,2024-01-12,2024,1,FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,13.25752,77.55832
85,100030004202200085,Mysuru,4,2022-08-01,2022,8,FIR,Non-Heinous,Cyber Crime,Phishing,Charge Sheeted,12.26199,76.61282
86,100090002202600086,Tumakuru,2,2026-02-10,2026,2,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,13.31017,77.15716
87,100290003202600087,Gadag,3,2026-12-26,2026,12,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,15.44418,75.61418
88,100110002202200088,Davanagere,2,2022-10-04,2022,10,FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,14.45428,75.98442
89,100010004202300089,Bengaluru City,4,2023-08-25,2023,8,FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,12.8619,77.63839
90,100140001202500090,Bidar,1,2025-08-21,2025,8,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,17.8755,77.42684
91,100280003202500091,Haveri,3,2025-01-02,2025,1,FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,14.70563,75.33878
92,100050003202300092,Belagavi,3,2023-05-06,2023,5,FIR,Non-Heinous,Cyber Crime,Phishing,False Case,15.77998,74.45706
93,100050004202600093,Belagavi,4,2026-04-09,2026,4,FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,15.85956,74.45927
94,100040001202200094,Mangaluru (Dakshina Kannada),1,2022-07-09,2022,7,FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.92434,74.82237
95,100260004202200095,Chikkaballapur,4,2022-10-07,2022,10,FIR,Non-Heinous,Crimes Against Property,Dacoity,Undetected,13.56795,77.70438
96,100050002202600096,Belagavi,2,2026-03-01,2026,3,FIR,Non-Heinous,Crimes Against Property,Dacoity,Undetected,15.84909,74.59311
97,700070003202600097,Hubballi-Dharwad,3,2026-06-27,2026,6,Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,15.39861,74.96789
98,100030003202500098,Mysuru,3,2025-09-14,2025,9,FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,12.23614,76.67903
99,100210004202600099,Koppal,4,2026-02-05,2026,2,FIR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,15.36948,76.13626
100,100190002202600100,Hassan,2,2026-03-02,2026,3,FIR,Non-Heinous,Crimes Against Women,Sexual Assault,False Case,13.01381,76.15163
101,100040002202400101,Mangaluru (Dakshina Kannada),2,2024-02-18,2024,2,FIR,Non-Heinous,Crimes Against Property,Dacoity,False Case,12.92055,74.86891
102,400070004202600102,Hubballi-Dharwad,4,2026-07-19,2026,7,UDR,Non-Heinous,Cyber Crime,Identity Theft,Under Investigation,15.37964,75.17478
103,100240003202300103,Kodagu,3,2023-04-09,2023,4,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.37225,75.88497
104,100080001202400104,Ballari,1,2024-04-06,2024,4,FIR,Non-Heinous,Cyber Crime,Identity Theft,Under Investigation,15.26667,76.93547
105,100030003202300105,Mysuru,3,2023-05-09,2023,5,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,12.33209,76.70425
106,100080004202200106,Ballari,4,2022-06-16,2022,6,FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Closed,15.14456,76.87376
107,100190001202300107,Hassan,1,2023-04-08,2023,4,FIR,Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,12.96122,76.09922
108,100070001202500108,Hubballi-Dharwad,1,2025-08-25,2025,8,FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,15.40121,75.11114
109,400030003202300109,Mysuru,3,2023-02-16,2023,2,UDR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.31758,76.68125
110,700010004202600110,Bengaluru City,4,2026-09-23,2026,9,Zero FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,12.94201,77.71072
111,100050004202500111,Belagavi,4,2025-04-13,2025,4,FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,15.9379,74.50787
112,100290004202200112,Gadag,4,2022-11-03,2022,11,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,15.37281,75.61912
113,100210001202300113,Koppal,1,2023-07-16,2023,7,FIR,Non-Heinous,Narcotics,NDPS Possession,Charge Sheeted,15.49861,76.24361
114,100220003202500114,Yadgir,3,2025-11-16,2025,11,FIR,Non-Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,16.64455,77.17996
115,100140004202500115,Bidar,4,2025-03-18,2025,3,FIR,Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,17.76807,77.48776
116,100100004202400116,Shivamogga,4,2024-04-02,2024,4,PAR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.83857,75.62975
117,100100003202500117,Shivamogga,3,2025-08-06,2025,8,FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,False Case,13.90571,75.60057
118,100020003202300118,Bengaluru Rural,3,2023-04-27,2023,4,FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,False Case,13.25861,77.57366
119,100050001202300119,Belagavi,1,2023-02-15,2023,2,FIR,Heinous,Crimes Against Body,Assault,Charge Sheeted,15.84237,74.36615
120,100180003202500120,Mandya,3,2025-09-17,2025,9,FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,12.52486,76.98196
121,100030003202400121,Mysuru,3,2024-05-24,2024,5,FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,12.24388,76.54208
122,700010003202300122,Bengaluru City,3,2023-06-17,2023,6,Zero FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,12.99494,77.5718
123,700110003202400123,Davanagere,3,2024-01-08,2024,1,Zero FIR,Non-Heinous,Crimes Against Property,Theft,Closed,14.41545,75.86397
124,100210004202500124,Koppal,4,2025-07-02,2025,7,FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,15.42097,76.17201
125,100020001202500125,Bengaluru Rural,1,2025-05-13,2025,5,FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,13.34042,77.50773
126,100060004202600126,Kalaburagi,4,2026-12-14,2026,12,FIR,Heinous,Crimes Against Body,Assault,False Case,17.29459,76.86962
127,100040003202300127,Mangaluru (Dakshina Kannada),3,2023-12-01,2023,12,PAR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.85707,74.8452
128,100010002202300128,Bengaluru City,2,2023-11-01,2023,11,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,13.06555,77.62512
129,100230003202200129,Chamarajanagar,3,2022-03-11,2022,3,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,11.94719,76.89388
130,100100003202300130,Shivamogga,3,2023-05-13,2023,5,FIR,Heinous,Crimes Against Body,Murder,Closed,13.89478,75.54586
131,100050002202500131,Belagavi,2,2025-10-05,2025,10,FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,15.75256,74.50453
132,100280003202500132,Haveri,3,2025-01-07,2025,1,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,14.83979,75.46246
133,100070003202400133,Hubballi-Dharwad,3,2024-10-07,2024,10,FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,15.36131,75.0894
134,100010002202500134,Bengaluru City,2,2025-11-13,2025,11,FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,12.97203,77.56248
135,100020003202200135,Bengaluru Rural,3,2022-07-24,2022,7,PAR,Heinous,Crimes Against Women,Dowry Harassment,Undetected,13.34283,77.49426
136,100020004202600136,Bengaluru Rural,4,2026-06-11,2026,6,PAR,Non-Heinous,Crimes Against Body,Assault,Closed,13.24735,77.60117
137,700120003202400137,Vijayapura,3,2024-09-14,2024,9,Zero FIR,Non-Heinous,Crimes Against Body,Assault,Charge Sheeted,16.78955,75.64558
138,700210001202600138,Koppal,1,2026-04-26,2026,4,Zero FIR,Non-Heinous,Cyber Crime,Online Fraud,Charge Sheeted,15.29765,76.1801
139,100090001202500139,Tumakuru,1,2025-04-04,2025,4,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.33783,76.9832
140,100130004202600140,Raichur,4,2026-12-23,2026,12,FIR,Non-Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,16.27829,77.40968
141,100190001202300141,Hassan,1,2023-04-25,2023,4,FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,13.05119,76.08483
142,400050002202300142,Belagavi,2,2023-02-23,2023,2,UDR,Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,15.7537,74.58229
143,700190002202400143,Hassan,2,2024-05-21,2024,5,Zero FIR,Heinous,Crimes Against Women,Molestation,False Case,12.99416,76.11806
144,100040003202600144,Mangaluru (Dakshina Kannada),3,2026-04-11,2026,4,FIR,Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,12.95536,74.97397
145,700190003202600145,Hassan,3,2026-12-26,2026,12,Zero FIR,Non-Heinous,Crimes Against Property,Robbery,False Case,12.97402,75.97982
146,100140004202500146,Bidar,4,2025-10-20,2025,10,FIR,Heinous,Crimes Against Body,Murder,Closed,17.90608,77.59548
147,100030004202300147,Mysuru,4,2023-06-07,2023,6,FIR,Non-Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,12.27685,76.71011
148,100160002202600148,Udupi,2,2026-08-10,2026,8,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.35467,74.71076
149,100160002202600149,Udupi,2,2026-12-10,2026,12,FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,13.3864,74.75001
150,100010003202500150,Bengaluru City,3,2025-03-06,2025,3,FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,13.005,77.59204
151,100200001202500151,Chitradurga,1,2025-09-24,2025,9,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,14.25194,76.44864
152,100020004202600152,Bengaluru Rural,4,2026-03-08,2026,3,FIR,Non-Heinous,Economic Offences,Cheating,False Case,13.2133,77.61785
153,100010001202600153,Bengaluru City,1,2026-02-03,2026,2,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,12.88988,77.50928
154,100160002202500154,Udupi,2,2025-06-05,2025,6,FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,13.36013,74.80335
155,100090002202400155,Tumakuru,2,2024-07-10,2024,7,FIR,Non-Heinous,Crimes Against Property,Dacoity,Undetected,13.28303,77.11354
156,100130004202200156,Raichur,4,2022-02-26,2022,2,FIR,Heinous,Crimes Against Women,Dowry Harassment,Closed,16.15644,77.36187
157,700040001202200157,Mangaluru (Dakshina Kannada),1,2022-01-07,2022,1,Zero FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,12.88467,74.87971
158,100110002202400158,Davanagere,2,2024-05-05,2024,5,FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,14.5288,75.89743
159,100030001202400159,Mysuru,1,2024-09-12,2024,9,PAR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,12.32676,76.66848
160,700160002202500160,Udupi,2,2025-11-02,2025,11,Zero FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed,13.34204,74.74002
161,100190003202200161,Hassan,3,2022-01-23,2022,1,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.0098,76.12772
162,100050003202500162,Belagavi,3,2025-05-08,2025,5,FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,15.81321,74.53521
163,100010004202300163,Bengaluru City,4,2023-09-21,2023,9,FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,12.90877,77.62963
164,400220003202600164,Yadgir,3,2026-06-08,2026,6,UDR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,16.80478,77.23787
165,100190001202400165,Hassan,1,2024-09-25,2024,9,FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.17477,76.12502
166,100100002202600166,Shivamogga,2,2026-07-17,2026,7,FIR,Heinous,Crimes Against Women,Sexual Assault,False Case,13.98862,75.5358
167,700040001202400167,Mangaluru (Dakshina Kannada),1,2024-07-12,2024,7,Zero FIR,Non-Heinous,Public Order,Rioting,False Case,12.97028,74.76328
168,400240002202300168,Kodagu,2,2023-07-09,2023,7,UDR,Non-Heinous,Economic Offences,Cheating,Under Investigation,12.34287,75.79266
169,400020001202600169,Bengaluru Rural,1,2026-08-22,2026,8,UDR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,13.27373,77.58086
170,100240003202600170,Kodagu,3,2026-06-19,2026,6,FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,12.31876,75.71176
171,400020002202400171,Bengaluru Rural,2,2024-05-14,2024,5,UDR,Non-Heinous,Crimes Against Property,Robbery,Closed,13.30572,77.54476
172,400220001202300172,Yadgir,1,2023-01-14,2023,1,UDR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,16.80526,77.1444
173,100010002202300173,Bengaluru City,2,2023-11-25,2023,11,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.9679,77.61314
174,100040003202200174,Mangaluru (Dakshina Kannada),3,2022-01-20,2022,1,FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,12.83073,74.94349
175,100010003202200175,Bengaluru City,3,2022-01-12,2022,1,FIR,Heinous,Crimes Against Women,Domestic Violence,Under Investigation,12.9913,77.55695
176,700210004202600176,Koppal,4,2026-06-16,2026,6,Zero FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,15.43209,76.13122
177,100040003202600177,Mangaluru (Dakshina Kannada),3,2026-09-16,2026,9,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,12.81004,74.86421
178,100160001202600178,Udupi,1,2026-08-10,2026,8,FIR,Non-Heinous,Cyber Crime,Cyberstalking,Undetected,13.26156,74.81907
179,100020003202400179,Bengaluru Rural,3,2024-08-19,2024,8,FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Closed,13.31283,77.59409
180,100130004202600180,Raichur,4,2026-04-22,2026,4,FIR,Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,16.16345,77.38838
181,100050001202600181,Belagavi,1,2026-08-17,2026,8,FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.92766,74.48078
182,100060003202500182,Kalaburagi,3,2025-05-11,2025,5,FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,17.35492,76.86707
183,100020004202200183,Bengaluru Rural,4,2022-03-18,2022,3,FIR,Heinous,Crimes Against Body,Murder,Closed,13.26211,77.59733
184,700220004202500184,Yadgir,4,2025-02-03,2025,2,Zero FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Closed,16.74418,77.19513
185,700250001202300185,Ramanagara,1,2023-05-07,2023,5,Zero FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,12.63874,77.27592
186,700030001202500186,Mysuru,1,2025-03-06,2025,3,Zero FIR,Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,12.22292,76.68225
187,100020001202500187,Bengaluru Rural,1,2025-12-16,2025,12,FIR,Non-Heinous,Crimes Against Body,Assault,Closed,13.26887,77.51045
